Entity Name,Salience(https://en.wikipedia.org/wiki/Dieting),Kw Count (https://en.wikipedia.org/wiki/Dieting)
0,0.0,4
0.5,0.0,1
0000000000000476,0.0,1
0000437739.71477,0.0,1
00005768,0.0,1
00007,0.0,1
00020.2005,0.0,1
0003,0.0,3
0020171,0.0,1
003,0.0,1
00576310,0.0,1
0093,0.0,1
01,0.0,4
010,0.0,1
017,0.0,1
045037,0.0,1
056,0.0,2
066,0.0,3
0829,0.0,1
085,0.0,1
0884533614550251,0.0,1
1,0.0,29
1 April 2010,0.0,1
1 February 2019,0.0,1
1 May 2010,0.0,1
1 October 2005,0.0,1
"1,000",0.0,2
"1,200",0.0,1
1.1,0.0,1
1.5,0.0,1
10,0.0,9
10.1001,0.0,3
10.1001/archinte.,4.0752482163952664e-05,1
10.1001/jama.2014.10397,5.9850779507542036e-05,1
10.1001/jama.2014.10929,0.00018228148110200002,1
10.1002,0.0,2
10.1002/14651858.CD005105.pub2,0.000798151304479,4
10.1007,0.0,1
10.1007/s11892-010-0093-7,0.00025989426649100005,1
10.1016,0.0,2
10.1016/j.appet.2018.11.017,8.140883437590674e-05,1
10.1016/j.jada.2006.01.003,8.142797014443204e-05,1
10.1017,0.0,2
10.1017/S0033291797004753,0.000802485854364,2
10.1017/S0954422409990035,0.0011704491917040002,2
10.1037,0.0,3
10.1038,0.0,3
10.1038/ijo.,9.282593964599074e-05,1
10.1038/ijo.2010.41,0.000109232256363,1
10.1053,0.0,3
10.1053/j.gastro.,0.000265812966972,2
10.1053/jada.2003.50142,8.501789125148208e-05,1
10.1056,0.0,2
10.1056/NEJMoa0804748,0.0018959514563900001,4
10.1093,0.0,3
10.1093/ajcn/34.3.362,0.00035280341398900004,2
10.1093/ajcn/74.5.579,0.001071951002813,2
10.1093/jn,0.00035263496101800004,2
10.1097,0.0,1
10.1097/00005768-199908000-00007,0.000736515503376,2
10.1111,0.0,1
10.1111/obr.12744,3.5734141420107335e-05,1
10.1152,0.0,1
10.1152/physiol.00020.2005,8.14209706732072e-05,1
10.1161,0.0,5
10.1161/CIR.0000000000000476,0.00010162854596200001,1
10.1161/CIRCOUTCOMES.113.000723,3.5750352253671736e-05,1
10.1161/CIRCULATIONAHA.105.603910,3.573947833501734e-05,1
10.1161/CIRCULATIONAHA.111.039453,0.00010881710477400001,1
10.1177,0.0,1
10.1177/0884533614550251,0.0010696379467840002,2
10.1186,0.0,1
10.1186/1475-2891-10-9,0.00019515051099000002,1
10.1371,0.0,1
10.1371/journal.pmed.0020171,0.0008027338772080001,2
10.1503,0.0,1
10.1503/cmaj.045037,0.00010892176214800001,1
10.3945,0.0,1
10.3945/ajcn.115.109553,3.5759621823672205e-05,1
10.5539,0.0,1
10.5539/jfr.v5n6p80,0.000108720116259,1
1000,0.0,1
102,0.0,1
103,0.0,1
1044,0.0,1
105.603910,0.0,1
1050,0.0,1
106,0.0,1
108,0.0,1
11,0.0,7
11 November 2014,0.0,1
11 November 2019,0.0,1
111.039453,0.0,1
1118,0.0,1
1128,0.0,1
113.000723,0.0,1
114,0.0,1
115.109553,0.0,1
1157,0.0,1
1160579,0.0,1
11684524,0.0,1
1170,0.0,1
12,0.0,8
12 November 2003,0.0,1
125,0.0,1
12588072,0.0,1
12744,0.0,1
12778049,0.0,1
129,0.0,1
12949357,0.0,1
13,0.0,1
13151225,0.0,1
1319349,0.0,1
133,0.0,3
135,0.0,1
14,0.0,3
1428,0.0,2
14651858,0.0,2
1466,0.0,3
1475,0.0,1
15,0.0,2
15 November 2016,0.0,1
152,0.0,3
1539,0.0,1
1548,0.0,1
158,0.0,1
15971946,0.0,1
16,0.0,2
16174870,0.0,1
16389240,0.0,1
166,0.0,2
16864756,0.0,1
16940205,0.0,1
17,0.0,2
17 December 2012,0.0,1
1700,0.0,1
1718,0.0,2
1724,0.0,2
1739,0.0,4
174,0.0,1
17469900,0.0,3
1751,0.0,4
17538594,0.0,1
17636786,0.0,2
1797,0.0,2
18,0.0,4
18 July 2007,0.0,1
1847654588,0.0,1
185,0.0,1
1863,0.0,6
189,0.0,1
19,0.0,3
1911,0.0,4
1918,0.0,2
192,0.0,1
19246357,0.0,2
193,0.0,1
1953,0.0,2
19555520,0.0,1
1981,0.0,1
1986,0.0,2
1993,0.0,2
1997,0.0,1
1999,0.0,1
199908000,0.0,1
2,0.0,20
2 February 2018,0.0,1
2 January 2013,0.0,1
2 November 2007,0.0,1
"2,000",0.0,2
2-4-6-8,0.00065083336085,2
2.1,0.0,1
2.2,0.0,2
2.3,0.0,1
2.4,0.0,1
2.5,0.0,2
2.6,0.0,1
2.7,0.0,1
20,0.0,6
20 June 2013,0.0,2
20 November 2018,0.0,1
200,0.0,2
2001,0.0,3
2002,0.0,2
2003,0.0,7
2003.50142,0.0,1
2004,0.0,2
2005,0.0,9
2006,0.0,10
2007,0.0,12
2008,0.0,3
2009,0.0,13
2010,0.0,4
2010.41,0.0,1
2011,0.0,3
2012,0.0,3
2012.12,0.0,1
2013,0.0,7
2014,0.0,9
2014.10397,0.0,1
2014.10929,0.0,1
2015,0.0,2
2016,0.0,1
2017,0.0,5
2018,0.0,9
2019,0.0,5
2020,0.0,8
20212495,0.0,1
20425575,0.0,1
21,0.0,2
21261939,0.0,1
22,0.0,4
22 October 2019,0.0,1
220,0.0,6
22290535,0.0,1
22392863,0.0,1
23,0.0,2
233,0.0,1
24,0.0,4
24 July 2006,0.0,1
24 June 2014,0.0,1
24 March 2015,0.0,1
24222017,0.0,1
25,0.0,2
25182101,0.0,1
25182116,0.0,1
25293593,0.0,1
25387778,0.0,1
26,0.0,3
26 December 2007,0.0,1
26135345,0.0,1
27,0.0,4
27 April 2018,0.0,1
2728,0.0,2
2739045,0.0,1
2763382,0.0,2
2796,0.0,1
28,0.0,4
28 December 2007,0.0,1
28 February 2017,0.0,1
28 November 2018,0.0,1
28137935,0.0,1
28214525,0.0,2
2891,0.0,1
28974642,0.0,1
29,0.0,5
29 August 2006,0.0,1
"29 September 2020, at 22:27 (UTC)",0.0,1
3,0.0,30
3 September 2014,0.0,2
3.1,0.0,1
3.2,0.0,2
3.3,0.0,1
30,0.0,2
30 April 2020,0.0,1
30194696,0.0,1
303,0.0,1
3041737,0.0,1
30476522,0.0,1
31,0.0,4
31 July 2006,0.0,1
31 May 2007,0.0,1
312,0.0,2
313,0.0,1
315,0.0,1
319,0.0,1
32,0.0,2
33,0.0,4
3313649,0.0,1
337,0.0,1
34,0.0,5
343,0.0,1
35,0.0,2
35275,0.0,1
36,0.0,2
360,0.0,2
362,0.0,2
37,0.0,1
38,0.0,2
39,0.0,2
4,0.0,17
4.1,0.0,1
40,0.0,1
400,0.0,1
41,0.0,1
42,0.0,1
43,0.0,1
4392,0.0,1
44,0.0,1
447,0.0,1
447525,0.0,1
45,0.0,2
4515906,0.0,1
4566,0.0,1
46,0.0,1
464,0.0,1
47,0.0,1
48,0.0,1
49,0.0,1
5,0.0,11
5 September 2009,0.0,1
5.1,0.0,1
5.2,0.0,1
5.3,0.0,1
5.5,0.0,1
50,0.0,1
500,0.0,2
507,0.0,1
509,0.0,1
51,0.0,1
513,0.0,1
52,0.0,1
525,0.0,1
53,0.0,1
53712116,0.0,1
54,0.0,1
55,0.0,1
559,0.0,1
56,0.0,2
568,0.0,1
57,0.0,1
579,0.0,2
58,0.0,1
5819889,0.0,1
584,0.0,1
59605,0.0,1
6,0.0,12
6 March 2012,0.0,1
6.1,0.0,1
600,0.0,1
62,0.0,6
6259925,0.0,1
63,0.0,1
64,0.0,1
65,0.0,1
65%,0.00031043385388300005,1
666,0.0,3
67,0.0,2
7,0.0,12
7.1,0.0,1
70,0.0,2
7144,0.0,1
73,0.0,2
74,0.0,2
748,0.0,1
7484,0.0,3
75,0.0,1
759,0.0,1
765,0.0,1
7817,0.0,1
8,0.0,12
8 July 2008,0.0,1
8 July 2011,0.0,1
80,0.0,2
80%,0.000406535284128,1
800,0.0,3
815,0.0,1
827,0.0,1
85,0.0,1
85%,0.000306259695207,1
859,0.0,2
9,0.0,15
9213,0.0,1
923,0.0,1
93,0.0,1
9543975,0.0,1
961,0.0,1
973,0.0,1
974,0.0,1
978,0.0,6
978-0-313-35275-1,0.00020162294094900002,1
978-0-7817-2796-9,0.000181563096703,1
978-1-59605-085-3,0.000197716668481,3
978-1847654588,4.533485480351373e-05,1
978-3-319-99794-0,7.003386417636648e-05,1
9780865477568,0.0,1
981038551,0.0,1
99794,0.0,1
A,0.00010918014595500001,1
A Systematic Review of Randomized Controlled Trials,7.226438174257055e-05,1
A.C.,3.5801913327304646e-05,1
AG,0.000118783354992,1
AHA,0.000118773532449,3
AJ,0.00021269894205,2
Adipose tissue,0.0009124784264710001,1
Adolescents,0.00013785783085,1
Advice,0.00010974379983900001,1
"Agaronnik, N",8.141401485772803e-05,1
Ahmad,3.578768883016892e-05,1
Al,0.000108686872408,1
Alanine,9.615551971364768e-05,1
Albert,0.000118783354992,1
American,0.0022223885171110003,13
American College of Cardiology,0.000246003299253,3
American Dietetic Association,0.000357033801265,2
American Family Physician.,0.00011593163799200001,1
American Heart Association Scientific Sessions,5.6913228036137305e-05,1
American Heart Association Task Force on Practice,0.000307530979625,1
American Heart Association Task Force on Practice Guidelines and The Obesity Society,0.000168857528478,1
American Journal of Clinical Nutrition.,0.00017051314353000002,3
American Journal of Preventive Medicine,0.00021122008911300002,1
American Psychologist,0.00012175206211300001,1
Amino acids,0.000128951200167,1
An Essay of Health and Long Life,0.002396469935774,1
"Anderson, JL",0.000317439174978,3
Ann-Marie,7.478367479052395e-05,1
Anna,3.5771015973296016e-05,1
Anorexia,0.000796879699919,1
Anti-obesity medication,0.0015436073299490002,1
Aon,8.142621663864702e-05,1
Aphramor,9.280631638830529e-05,1
Aphramor L.,0.00010176312935000001,1
Apovian,0.000118783354992,1
Appetite. 133,8.14105587778613e-05,1
April 2006,0.0,1
April 2007,0.0,3
Archives of Internal Medicine,4.075592369190417e-05,1
Ard,0.00021045295579800002,2
Arginine,9.61538898991421e-05,1
Arteriosclerosis,0.0007950592553240001,1
Article,0.00022605330741400003,1
Articles,0.0013566395500650003,6
Asparagine,9.615226736059414e-05,1
Aspartic acid,0.00012894245446600002,1
Asturianu,5.66763847018592e-05,1
"Atallah, R.",3.575403752620332e-05,1
Atherosclerosis,0.0007948947022660001,1
Atkins,6.480506272055209e-05,1
Atkinson,4.075939068570733e-05,1
August 1999,0.0,1
August 2015,0.0,1
Australia,4.6040335291763774e-05,2
Author,0.000135270340251,1
Authority control,0.00017048919107700002,1
B,0.000688484957208,3
