Entity Name,Salience(https://en.wikipedia.org/wiki/Diet_(nutrition)),Kw Count (https://en.wikipedia.org/wiki/Diet_(nutrition))
04,0.0,3
07,0.0,1
09,0.0,1
1,0.0,5
10,0.0,4
10.1186,0.0,1
10.1186/1475-2891,0.000122575336718,1
11,0.0,3
12,0.0,4
13,0.0,1
14,0.0,1
1475,0.0,3
2,0.0,3
20,0.0,1
2004,0.0,1
2009,0.0,1
2009-10-12,0.0,1
2010,0.0,5
2010-07-20,0.0,1
2011,0.0,1
2011-12-11,0.0,1
2015,0.0,3
2015-09-11,0.0,1
2016,0.0,1
2016-04-28,0.0,1
2020,0.0,7
2020-04-10,0.0,2
20646282,0.0,1
24,0.0,1
25,0.0,1
26,0.0,6
26 August 2004,0.0,1
28,0.0,1
2891,0.0,2
29,0.0,1
"29 September 2020, at 14:41 (UTC)",0.0,1
2916886,0.0,1
3,0.0,3
3.1,0.0,1
30,0.0,2
4,0.0,3
4012031,0.0,1
4012031-4,7.777696009725332e-05,1
41,0.0,1
455,0.0,1
460,0.0,1
5,0.0,4
5.1,0.0,1
6,0.0,4
7,0.0,3
77,0.0,1
8,0.0,2
9,0.0,4
9780191579172,0.0,1
980968957,0.0,1
Alanine,0.00045196118298900006,1
America Orders Fries,0.000355732860043,1
American Institute for Cancer Research,0.000133676090626,1
Americans,0.0007287758635350001,1
Amino acids,0.0006425278261300001,1
Aphramor,0.00011735688167300001,1
Arginine,0.00045195041457100004,1
Article,0.000614162941928,1
Articles,0.0012286524288340002,2
Asparagine,0.00045193964615400004,1
Aspartic acid,0.000642466649878,1
Asturianu,0.00018626677046900002,1
Authority control,0.00044881764915700003,1
Avañe'ẽ,0.00018626324890600002,1
B12,0.0009864153107620002,1
Bahasa Indonesia,0.00018620754417400002,1
Bahasa Melayu,0.000186173419933,1
Beef,0.000602814136072,1
Berries,0.0006663238746110001,1
Body Weight,0.00022833842376700003,1
Bodybuilding supplements,0.0005151879158800001,1
Buddhism,0.00014642006135500002,1
Buddhists,0.002320172963663,3
Calcium,0.000514195417053,1
